,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longitude,id,date,Təmir,İpoteka
0,Yeni tikili,2 / 17,62 m²,2,,75000,AZN,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.4053327515815,Bakı,49.81380344106,3000000,28 Sentyabr 2022 ,,
1,Yeni tikili,8 / 17,73 m²,2,,120000,AZN,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.4228697516585,Bakı,49.81694719685061,3000004,18 Oktyabr 2022 ,,
2,Yeni tikili,11 / 14,75 m²,2,yoxdur,130000,AZN,"Təhsil Nazirliyi ,Nərimanov r.",40.39816149998397,Bakı,49.84086155891422,3000005,01 Oktyabr 2022 ,,
3,Yeni tikili,4 / 4,78 m²,3,,64000,AZN,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,3000010,18 Oktyabr 2022 ,,
4,Yeni tikili,10 / 16,90 m²,2,yoxdur,130000,AZN,Nərimanov r.,40.39816149998397,Bakı,49.84086155891422,3000011,01 Oktyabr 2022 ,,
5,Yeni tikili,8 / 16,135 m²,3,,245000,AZN,"Binəqədi r.,8-ci mikrorayon q.",40.41890356576523,Bakı,49.85291004180908,3000014,18 Oktyabr 2022 ,,
6,Yeni tikili,18 / 20,59 m²,2,var,125000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.3839039,Bakı,49.79972640000005,3000027,18 Oktyabr 2022 ,,
7,Yeni tikili,4 / 9,57 m²,2,,77000,AZN,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,3000030,18 Oktyabr 2022 ,,
8,Köhnə tikili,3 / 5,60 m²,2,,85000,AZN,"Nəsimi m.,Binəqədi r.,6-cı mikrorayon q.",40.42595738265467,Bakı,49.82836562716016,3000032,18 Oktyabr 2022 ,,
9,Yeni tikili,14 / 17,98 m²,2,,152000,AZN,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.42285341636961,Bakı,49.81703302753908,3000034,19 Noyabr 2022 ,,
10,Yeni tikili,5 / 16,117 m²,2,var,173000,AZN,"Şərq bazarı ,Nərimanov r.",40.40165844427115,Bakı,49.86887991428379,3000047,18 Oktyabr 2022 ,,
11,Yeni tikili,8 / 16,68 m²,2,,78000,AZN,Xırdalan,40.45245455420378,Xırdalan,49.74205131907212,3000048,18 Noyabr 2022 ,,
12,Yeni tikili,5 / 16,120 m²,3,yoxdur,240000,AZN,"Şərq bazarı ,Nərimanov r.",40.38645125868876,Bakı,49.85338341671899,3000060,30 Noyabr 2022 ,,
13,Köhnə tikili,1 / 5,70 m²,3,,150000,AZN,"Ayna Sultanova heykəli ,Binəqədi r.,8-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,3000067,18 Noyabr 2022 ,,
14,Yeni tikili,3 / 12,55 m²,2,,55000,AZN,Xırdalan,40.4594222097755,Xırdalan,49.74030236557609,3000068,18 Oktyabr 2022 ,,
15,Yeni tikili,2 / 10,180 m²,4,,275000,AZN,"M.Hüseynzadə parkı ,Sevil Qazıyeva parkı ,İzmir parkı ,Nizami m.,Yasamal r.",40.39045008382347,Bakı,49.830508675731,3000076,18 Oktyabr 2022 ,,
16,Yeni tikili,1 / 6,73 m²,3,var,82000,AZN,"Abşeron r.,Masazır q.",40.49219701939483,Bakı,49.75321769714355,3000084,18 Oktyabr 2022 ,,
17,Köhnə tikili,2 / 6,54 m²,2,var,110000,AZN,Xətai r.,40.38727822105774,Bakı,49.88063813930331,3000088,18 Oktyabr 2022 ,,
18,Köhnə tikili,5 / 5,35 m²,1,,62000,AZN,"Xətai r.,Həzi Aslanov q.",40.3807186,Bakı,49.92525120000005,3000089,18 Oktyabr 2022 ,,
19,Yeni tikili,16 / 16,65 m²,3,,100000,AZN,"Binəqədi r.,Biləcəri q.",40.42385238819654,Bakı,49.80408506395202,3000091,18 Oktyabr 2022 ,,
20,Köhnə tikili,3 / 5,45 m²,2,,50000,AZN,Xırdalan,40.45893241577285,Xırdalan,49.74553803757316,3000094,28 Noyabr 2022 ,,
21,Yeni tikili,11 / 17,100 m²,3,var,195000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.39045008382347,Bakı,49.830508675731,3000096,18 Oktyabr 2022 ,,
