,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
0,Yeni tikili,17 / 19,124 m²,3,var,var,var,260000,AZN,"İnşaatçılar m.,Yasamal r.",40.38257828125999,Bakı,49.80385780334476,3100002,15 Dekabr 2022 
1,Köhnə tikili,5 / 6,80 m²,3,var,,,165000,AZN,"İncəsənət və Mədəniyyət Un. ,Dövlət Statistika Komitəsi ,Nizami m.,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.37945913329833,Bakı,49.82139196857361,3100003,15 Dekabr 2022 
2,Yeni tikili,5 / 18,53 m²,2,var,,,157000,AZN,"ASAN Xidmət №1 ,TQDK ,Neftçi bazası ,Nəsimi r.",40.40928899571853,Bakı,49.80875551700596,3100007,15 Dekabr 2022 
3,Yeni tikili,4 / 19,140 m²,3,var,,,340000,AZN,"Səməd Vurğun parkı ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,3100008,05 Dekabr 2022 
4,Yeni tikili,7 / 10,138 m²,3,var,,,280000,AZN,"İnşaatçılar m.,Yasamal r.",40.42501388353632,Bakı,49.91049531402914,3100015,16 Yanvar 2023 
5,Yeni tikili,5 / 16,50 m²,2,yoxdur,,,123000,AZN,"ASAN Xidmət №1 ,TQDK ,Neftçi bazası ,Nərimanov r.",40.40027766320492,Bakı,49.84006762504578,3100022,16 Dekabr 2022 
6,Yeni tikili,4 / 19,140 m²,3,var,,,340000,AZN,"Səməd Vurğun parkı ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,3100023,02 Dekabr 2022 
7,Yeni tikili,15 / 20,103 m²,3,yoxdur,,,195000,AZN,Yasamal r.,40.4053327515815,Bakı,49.81380344106,3100037,15 Dekabr 2022 
8,Köhnə tikili,4 / 9,80 m²,3,var,,,105000,AZN,"Ukrayna dairəsi ,Xətai r.,Əhmədli q.",40.37649764183499,Bakı,49.84163403511051,3100040,15 Dekabr 2022 
9,Yeni tikili,7 / 16,118 m²,3,var,,,170000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.42205959726204,Bakı,49.80957715747362,3100048,23 Noyabr 2022 
10,Köhnə tikili,8 / 9,90 m²,4,var,var,var,135000,AZN,Yasamal r.,40.39538815155955,Bakı,49.7904249334874,3100056,28 Yanvar 2023 
11,Köhnə tikili,2 / 5,38 m²,2,var,,,74000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.",40.37649764183499,Bakı,49.84163403511051,3100112,15 Dekabr 2022 
12,Yeni tikili,9 / 17,163 m²,3,yoxdur,,,309000,AZN,"İncəsənət və Mədəniyyət Un. ,Elmlər Akademiyası m.,Yasamal r.",40.39414959485713,Bakı,49.7993946075439,3100117,15 Dekabr 2022 
13,Köhnə tikili,2 / 9,85 m²,3,var,,,155000,AZN,"Xalqlar Dostluğu m.,Nizami r.",40.38855213843042,Bakı,49.87120270729065,3100130,15 Dekabr 2022 
14,Yeni tikili,7 / 18,84 m²,2,var,,,265000,AZN,"Bakı Dövlət Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.3765957210189,Bakı,49.85243260860443,3100139,26 Fevral 2023 
