,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,İpoteka,Təmir
0,Yeni tikili,20 / 22,400 m²,6,,1140000,AZN,"Milli Konservatoriya ,Bakı Musiqi Akademiyası ,Neft Akademiyası ,Nizami kinoteatrı ,Malokan bağı ,Pedaqoji Universiteti ,Sahil bağı ,28 May m.,Sahil m.,Nəsimi r.",40.38002022966838,Bakı,49.85552251338959,2669228,,
1,Köhnə tikili,3 / 3,120 m²,3,,274500,AZN,"Mərkəzi Univermaq ,M.Ə.Sabir parkı ,Fontanlar bağı ,Beşmərtəbə ,İqsadiyyat Universiteti ,İçəri Şəhər m.,Səbail r.",40.38264366149726,Bakı,49.87209320068359,2677908,,
2,Yeni tikili,11 / 12,131 m²,3,,165000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,2807240,,
3,Köhnə tikili,3 / 9,90 m²,3,,213000,AZN,"Nərimanov heykəli ,Space TV ,Yasamal r.,Yasamal q.",40.3651072257085,Bakı,49.81950849294662,2861056,,
4,Yeni tikili,14 / 20,110.5 m²,3,var,238000,AZN,"Elmlər Akademiyası m.,Bakı Dövlət Universiteti ,Yasamal r.,Yasamal q.",40.37742938831814,Bakı,49.80915784835819,2871472,,
5,Yeni tikili,10 / 11,330 m²,6,,360000,AZN,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.39414959485713,Bakı,49.7993946075439,2872340,,
6,Yeni tikili,14 / 15,136 m²,4,,260000,AZN,"İnşaatçılar m.,Yasamal r.",40.37620916175648,Bakı,49.81580107043555,2929628,,
7,Köhnə tikili,5 / 9,93 m²,4,,112000,AZN,Xətai r.,40.39174723989228,Bakı,49.95384693145752,2945252,,
8,Yeni tikili,5 / 12,88 m²,3,,250000,AZN,"Axundov bağı ,İqsadiyyat Universiteti ,Dövlət İdarəçilik Akademiyası ,M.Ə.Sabir parkı ,Sovetski ,Mərkəzi Univermaq ,İçəri Şəhər m.,Səbail r.",40.40554735588255,Bakı,49.87506508827209,2946988,,
9,Yeni tikili,6 / 10,74 m²,2,,145000,AZN,"Ayna Sultanova heykəli ,Nərimanov r.",40.41356139992233,Bakı,49.8460865020752,2948724,,
10,Köhnə tikili,5 / 9,85 m²,3,var,140000,AZN,"TQDK ,Gənclik m.,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,2950460,,
11,Yeni tikili,5 / 21,109.9 m²,3,var,205000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42127660346334,Bakı,49.84170371104961,2955668,,
12,Yeni tikili,15 / 22,75 m²,2,,125000,AZN,"Yasamal r.,Yeni Yasamal q.",40.38264366149726,Bakı,49.80834245681766,2958272,,
13,Yeni tikili,13 / 17,60 m²,2,,110000,AZN,"Binəqədi r.,7-ci mikrorayon q.",40.41934464307053,Bakı,49.92526531219486,2959140,,
14,Köhnə tikili,4 / 6,60 m²,2,,143000,AZN,"Park Zorge ,Rusiya səfirliyi ,Sevil Qazıyeva parkı ,Koala parkı ,Nəsimi r.",40.38875170094927,Bakı,49.83632681377331,2960876,,
15,Yeni tikili,11 / 16,86.6 m²,2,,135000,AZN,Nərimanov r.,40.38264366149726,Bakı,49.87209320068359,2961744,,
16,Yeni tikili,2 / 16,86 m²,2,,110000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.37024250177031,Bakı,49.97394200996779,2966952,,
17,Köhnə tikili,2 / 2,414 m²,8,,1250000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.3839039,Bakı,49.79972640000005,2969556,,
18,Köhnə tikili,5 / 5,90 m²,4,var,110000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.37742938831814,Bakı,49.80915784835819,2972160,,
19,Köhnə tikili,2 / 9,82 m²,3,var,147999,AZN,Nərimanov r.,40.36942330420567,Bakı,49.82101321220402,2973896,,
20,Köhnə tikili,7 / 9,80 m²,3,,98000,AZN,Xətai r.,40.37041645360539,Bakı,49.95307445526123,2978236,,
21,Yeni tikili,3 / 20,173 m²,3,,245000,AZN,"Dövlət Statistika Komitəsi ,Nizami m.,Yasamal r.",40.37738239264175,Bakı,49.82495069503784,2979104,,
22,Yeni tikili,17 / 19,70 m²,2,,139000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,Yasamal r.",40.39205366748811,Bakı,49.84065234661102,2981708,,
23,Köhnə tikili,2 / 9,75 m²,3,,105000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.3816452,Bakı,49.95845050000003,2982576,,
24,Yeni tikili,4 / 15,57 m²,2,,50000,AZN,Xırdalan,40.45328105555887,Xırdalan,49.74124792807287,2983444,,
25,Yeni tikili,9 / 17,65 m²,2,,138000,AZN,"Qara Qarayev m.,Nizami r.,8-ci kilometr q.",40.41740386874545,Bakı,49.93426509626465,2985180,,
26,Yeni tikili,14 / 16,150 m²,3,var,181000,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.400671768219,Bakı,49.80136710462629,2986048,,
27,Köhnə tikili,6 / 9,85 m²,3,,172000,AZN,"Ayna Sultanova heykəli ,Nərimanov r.",40.41359293244201,Bakı,49.8437817043466,2986916,,
28,Köhnə tikili,1 / 2,54 m²,2,,82000,AZN,"Səbail r.,Badamdar q.",40.33952290000001,Bakı,49.80342369999994,2992124,,
29,Yeni tikili,3 / 14,320 m²,8,,750000,AZN,"Montin bazarı ,Rəssamlıq Akademiyası ,Nərimanov r.",40.39604527024729,Bakı,49.87586438655853,2995596,,
30,Köhnə tikili,6 / 9,100 m²,4,var,165000,AZN,"Xalqlar Dostluğu m.,Xətai r.",40.41913797142315,Bakı,49.92514979797704,2998200,,
31,Köhnə tikili,3 / 5,90 m²,3,,105000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37187000529626,Bakı,49.9531289973145,3002540,,
32,Yeni tikili,2 / 18,70 m²,2,var,133000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38816806232006,Bakı,49.83243942260742,3005144,var,var
33,Yeni tikili,5 / 12,85 m²,3,var,106000,AZN,Xırdalan,40.45272664713519,Xırdalan,49.74083860830887,3007748,,
34,Yeni tikili,15 / 20,77 m²,3,var,130000,AZN,"Həzi Aslanov m.,Xətai r.",40.38855213843042,Bakı,49.87120270729065,3008616,var,var
35,Yeni tikili,9 / 17,160 m²,4,var,287000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.39352858614141,Bakı,49.8204231262207,3009484,var,var
36,Yeni tikili,2 / 5,60 m²,2,var,87000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.38042069783201,Bakı,49.80892181396484,3010352,,
37,Köhnə tikili,4 / 5,52 m²,2,var,106000,AZN,Nizami r.,40.4087847,Bakı,49.92876260000003,3011220,,
38,Yeni tikili,20 / 23,255 m²,5,,365000,AZN,"Tibb Universiteti ,Nəsimi r.",40.39584916837152,Bakı,49.85226631164551,3015560,,
39,Köhnə tikili,2 / 9,67 m²,3,var,95000,AZN,"Suraxanı r.,Yeni Günəşli q.",40.40554735588255,Bakı,49.87506508827209,3017296,,
40,Yeni tikili,5 / 16,81 m²,2,var,138000,AZN,"Bakı Slavyan Universiteti ,Dostluq kinoteatrı ,Azərbaycan Dillər Universiteti ,Nəsimi r.",40.38930339224178,Bakı,49.85948536585312,3019032,,
41,Yeni tikili,6 / 14,71 m²,1,var,114900,AZN,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.37018160476183,Bakı,49.94813889011569,3019900,,
42,Köhnə tikili,5 / 5,35 m²,1,var,61000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.37998753828459,Bakı,49.85486268997196,3021636,,
43,Yeni tikili,6 / 6,115 m²,3,,152000,AZN,"İnşaatçılar m.,Yasamal r.",40.39280498733137,Bakı,49.7986667303342,3024240,,
44,Yeni tikili,3 / 16,130 m²,3,var,210000,AZN,"Bakı Dövlət Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.39270174045908,Bakı,49.83329557619629,3025108,var,var
45,Köhnə tikili,3 / 3,61 m²,2,yoxdur,60000,AZN,"Əhmədli m.,Ukrayna dairəsi ,Xətai r.",40.37613086332457,Bakı,49.91559462210881,3025976,,
46,Yeni tikili,17 / 21,156 m²,3,var,320000,AZN,"İdman kompleksi ,Yasamal r.",40.38499730777751,Bakı,49.83810424804688,3026844,,
47,Yeni tikili,2 / 16,120 m²,3,yoxdur,145000,AZN,"Neapol dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.38166295127544,Bakı,49.96067047119141,3027712,,
48,Yeni tikili,15 / 16,181 m²,4,var,370000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.38274990424748,Bakı,49.8084390163422,3029448,var,var
49,Yeni tikili,13 / 15,75 m²,3,yoxdur,73000,AZN,Suraxanı r.,40.36942330420567,Bakı,49.82101321220402,3032920,,
50,Yeni tikili,5 / 16,58 m²,2,var,90000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.3816452,Bakı,49.95845050000003,3033788,,
51,Köhnə tikili,7 / 9,110 m²,5,var,126000,AZN,"Neapol dairəsi ,Xətai r.,Əhmədli q.",40.3651072257085,Bakı,49.81950849294662,3036392,,
