,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
0,Yeni tikili,21 / 22,155 m²,3,var,var,var,239000,AZN,"ASAN Xidmət №1 ,Tibb Universiteti ,Neftçi bazası ,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,3100000,15 Dekabr 2022 
1,Yeni tikili,5 / 17,139 m²,4,yoxdur,var,var,360000,AZN,"Bakı Slavyan Universiteti ,Azərbaycan Dillər Universiteti ,28 May m.,Nəsimi r.",40.38485974246297,Bakı,49.84452714793746,3100996,14 Yanvar 2023 
2,Yeni tikili,2 / 16,138 m²,3,var,var,var,280000,AZN,"Nəsimi bazarı ,Koala parkı ,Nəsimi r.",40.40027766320492,Bakı,49.84006762504578,3101000,15 Dekabr 2022 
3,Köhnə tikili,4 / 5,80 m²,3,var,,,156000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Yasamal r.",40.39061957433251,Bakı,49.84664440155029,3101018,15 Dekabr 2022 
4,Yeni tikili,4 / 19,140 m²,3,var,var,var,339900,AZN,"Səməd Vurğun parkı ,28 May m.,Nəsimi r.",40.36942330420567,Bakı,49.82101321220402,3101026,03 Yanvar 2023 
5,Yeni tikili,12 / 18,93 m²,2,var,var,var,153000,AZN,"8 Noyabr m.,Bakı Asiya Universiteti ,Nəsimi r.",40.40606433283491,Bakı,49.86231650326251,3101030,22 Dekabr 2022 
6,Yeni tikili,7 / 19,58 m²,2,var,,,130000,AZN,"20 Yanvar m.,Yasamal r.",40.38264366149726,Bakı,49.87209320068359,3101031,15 Dekabr 2022 
7,Yeni tikili,10 / 13,126 m²,3,var,,,205000,AZN,"20 Yanvar m.,Nəsimi r.",40.40400503095468,Bakı,49.81044410291246,3101034,15 Dekabr 2022 
8,Yeni tikili,15 / 17,215 m²,4,var,,,420000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Rəssamlıq Akademiyası ,Nərimanov r.",40.39352858614141,Bakı,49.8204231262207,3101036,15 Noyabr 2022 
9,Yeni tikili,5 / 13,130 m²,3,var,,,215000,AZN,"20 Yanvar m.,Nəsimi r.",40.40383971725205,Bakı,49.80981043103269,3101052,15 Dekabr 2022 
10,Yeni tikili,11 / 18,200 m²,6,var,,,440000,AZN,"Nəsimi bazarı ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,3101994,15 Dekabr 2022 
11,Yeni tikili,2 / 6,42 m²,2,yoxdur,,,49500,AZN,"Abşeron r.,Masazır q.",40.4053327515815,Bakı,49.81380344106,3102772,16 Dekabr 2022 
12,Yeni tikili,3 / 20,112 m²,3,yoxdur,,,147000,AZN,"Sabunçu r.,Bakıxanov q.",40.43546291501184,Bakı,49.95765223887453,3103770,17 Dekabr 2022 
13,Yeni tikili,15 / 16,90 m²,2,yoxdur,,,155000,AZN,"Qara Qarayev m.,Nizami r.",40.41830966149501,Bakı,49.93650244938861,3103772,17 Dekabr 2022 
14,Köhnə tikili,9 / 9,40 m²,2,var,,,70000,AZN,"Montin bazarı ,Nərimanov r.",40.40027766320492,Bakı,49.84006762504578,3103792,17 Dekabr 2022 
15,Yeni tikili,2 / 17,190 m²,5,var,,,360000,AZN,Binəqədi r.,40.41560126900655,Bakı,49.83042550462288,3105363,17 Dekabr 2022 
16,Köhnə tikili,1 / 5,60 m²,3,var,,,170000,AZN,"Gənclik m.,Nərimanov r.",40.37738239264175,Bakı,49.82495069503784,3105384,19 Yanvar 2023 
17,Yeni tikili,6 / 19,80 m²,3,yoxdur,,,138000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.3863886681378,Bakı,49.80817391355895,3105389,18 Yanvar 2023 
18,Yeni tikili,13 / 14,60 m²,2,var,var,var,95000,AZN,"Xətai r.,Köhnə Günəşli q.",40.41167961732732,Bakı,49.94238121798746,3105391,17 Dekabr 2022 
19,Yeni tikili,11 / 12,82 m²,2,yoxdur,,,99000,AZN,Xətai r.,40.36168482105406,Bakı,49.94862023234536,3105403,17 Dekabr 2022 
20,Yeni tikili,10 / 16,67 m²,2,yoxdur,,,136000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Bakı Dövlət Universiteti ,Yasamal r.",40.36822884896801,Bakı,49.813362210989,3105406,17 Yanvar 2023 
21,Köhnə tikili,7 / 8,96 m²,3,var,,,200000,AZN,"Park Zorge ,Koala parkı ,Rusiya səfirliyi ,Dostluq kinoteatrı ,Nəsimi bazarı ,Nəsimi r.",40.37371049868611,Bakı,49.83537912368774,3105417,17 Dekabr 2022 
