,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
0,Yeni tikili,6 / 18,146.2 m²,3,yoxdur,,195000,AZN,"Səbail r.,Badamdar q.",40.40554735588255,Bakı,49.87506508827209,3101315,15 Dekabr 2022 ,
1,Yeni tikili,13 / 18,90.5 m²,2,var,var,190000,AZN,"Şah İsmayıl Xətai m.,Cavanşir körpüsü ,Xətai r.",40.38264366149726,Bakı,49.87209320068359,3102353,16 Dekabr 2022 ,var
2,Yeni tikili,7 / 20,80 m²,3,var,,152000,AZN,"Xətai r.,Həzi Aslanov q.",40.39298300258589,Bakı,49.95403544813546,3102393,15 Yanvar 2023 ,
3,Yeni tikili,15 / 18,201 m²,4,var,var,295000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,6-cı mikrorayon q.",40.40952590477563,Bakı,49.84445571899418,3103330,21 Noyabr 2022 ,var
4,Yeni tikili,13 / 14,67 m²,2,var,var,67000,AZN,"Abşeron r.,Saray q.",40.5317647,Bakı,49.713245400000005,3103333,16 Dekabr 2022 ,var
5,Yeni tikili,6 / 19,138 m²,4,yoxdur,,250000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.38274990424748,Bakı,49.8084390163422,3104347,17 Dekabr 2022 ,
6,Yeni tikili,7 / 18,111 m²,3,var,var,300000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,3104350,17 Dekabr 2022 ,var
7,Köhnə tikili,9 / 9,105 m²,4,var,,120000,AZN,"Xalqlar Dostluğu m.,Nizami r.",40.40027766320492,Bakı,49.84006762504578,3104352,17 Dekabr 2022 ,
8,Yeni tikili,6 / 7,187 m²,4,var,,430000,AZN,"Ağ şəhər ,ASAN Xidmət №2 ,Xətai r.,Ağ şəhər q.",40.38002022966838,Bakı,49.85552251338959,3105325,14 Mart 2023 ,
9,Köhnə tikili,1 / 5,100 m²,3,var,,127000,AZN,"Qara Qarayev m.,Nizami r.",40.4053327515815,Bakı,49.81380344106,3105338,20 Dekabr 2022 ,
10,Yeni tikili,17 / 18,90 m²,2,var,,135000,AZN,"Xətai r.,Həzi Aslanov q.",40.38781667161964,Bakı,49.85220193862915,3105341,24 Noyabr 2022 ,
11,Yeni tikili,3 / 4,48.9 m²,1,var,,55000,AZN,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,3107338,18 Dekabr 2022 ,
12,Yeni tikili,12 / 13,115 m²,3,var,var,180000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.40210780478213,Bakı,49.85758781433109,3107358,23 Noyabr 2022 ,var
13,Yeni tikili,7 / 19,90 m²,2,var,var,188000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.40210780478213,Bakı,49.85758781433109,3107370,24 Yanvar 2023 ,var
14,Köhnə tikili,8 / 9,60 m²,2,var,,86000,AZN,"Neapol dairəsi ,Xətai r.,Əhmədli q.",40.3840079024685,Bakı,49.96888388816195,3107398,18 Dekabr 2022 ,
15,Köhnə tikili,2 / 9,80 m²,3,var,var,185000,AZN,"Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.",40.37620916175648,Bakı,49.81580107043555,3109343,29 Yanvar 2023 ,var
16,Yeni tikili,13 / 17,140 m²,4,var,,227000,AZN,"Neftçilər m.,Nizami r.",40.37104456957248,Bakı,49.95549254560103,3111315,22 Yanvar 2023 ,
17,Köhnə tikili,4 / 5,60 m²,2,var,,139900,AZN,"Montin bazarı ,Rəssamlıq Akademiyası ,Nərimanov r.",40.38264366149726,Bakı,49.80834245681766,3112357,29 Noyabr 2022 ,
18,Yeni tikili,1 / 6,60 m²,2,,,105000,AZN,"Abşeron r.,Masazır q.",40.49140077419715,Bakı,49.75369576065054,3112361,21 Dekabr 2022 ,
19,Yeni tikili,6 / 16,178 m²,4,var,,320000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Nərimanov r.",40.3861741000781,Bakı,49.85149383544922,3112368,06 Mart 2023 ,
20,Yeni tikili,5 / 8,92 m²,2,var,,82000,AZN,Abşeron r.,40.45284817302662,Bakı,49.73306569679315,3114321,22 Dekabr 2022 ,
21,Yeni tikili,6 / 13,54 m²,2,var,var,115000,AZN,"Nəsimi r.,4-cü mikrorayon q.",40.37224740672736,Bakı,49.81613159179691,3114327,22 Dekabr 2022 ,var
22,Yeni tikili,2 / 11,85 m²,3,var,,85000,AZN,Abşeron r.,40.38816806232006,Bakı,49.83243942260742,3114331,22 Yanvar 2023 ,
23,Yeni tikili,4 / 12,160 m²,4,var,,290000,AZN,"Dövlət Statistika Komitəsi ,İncəsənət və Mədəniyyət Un. ,Nizami m.,Yasamal r.",40.37998753828459,Bakı,49.85486268997196,3114333,Dünən 14:00 ,
24,Yeni tikili,8 / 20,196 m²,4,var,,352000,AZN,"Nizami m.,Beşmərtəbə ,Dövlət Statistika Komitəsi ,Zabitlər parkı ,İncəsənət və Mədəniyyət Un. ,Qış parkı ,Sirk ,M.Hüseynzadə parkı ,Mərkəzi Univermaq ,Sevil Qazıyeva parkı ,Nəsimi r.",40.38499730777751,Bakı,49.83810424804688,3116323,23 Dekabr 2022 ,
25,Köhnə tikili,5 / 5,50 m²,3,var,,91500,AZN,"Qara Qarayev m.,Neftçilər m.,Nizami r.",40.37024250177031,Bakı,49.97394200996779,3117331,06 Dekabr 2022 ,
26,Yeni tikili,6 / 16,55 m²,1,yoxdur,,150000,AZN,"TQDK ,Nəsimi bazarı ,ASAN Xidmət №1 ,Neftçi bazası ,Koala parkı ,Zoopark ,Dostluq kinoteatrı ,Tibb Universiteti ,Park Zorge ,Gənclik m.,Nəsimi r.",40.40328327684168,Bakı,49.85078707337379,3117359,24 Dekabr 2022 ,
27,Yeni tikili,8 / 16,145 m²,3,var,,240000,AZN,"Bakı Dövlət Universiteti ,ASAN Xidmət №3 ,Elmlər Akademiyası m.,Yasamal bazarı ,Memarlıq və İnşaat Universiteti ,Hüseyn Cavid parkı ,Texniki Universiteti ,Yasamal r.",40.40761426997893,Bakı,49.80840682983398,3117364,24 Dekabr 2022 ,
28,Yeni tikili,8 / 17,165 m²,4,yoxdur,,225000,AZN,"Qara Qarayev m.,Nizami r.",40.38855213843042,Bakı,49.87120270729065,3117396,24 Dekabr 2022 ,
29,Yeni tikili,8 / 14,157 m²,3,var,,620000,AZN,"İqsadiyyat Universiteti ,Axundov bağı ,Dövlət İdarəçilik Akademiyası ,İçəri Şəhər m.,M.Ə.Sabir parkı ,Qubernator parkı ,Prezident parkı ,Mərkəzi Univermaq ,İçəri Şəhər ,Azərbaycan kinoteatrı ,Sovetski ,Nərimanov heykəli ,Şəlalə parkı ,Fontanlar bağı ,Azneft meydanı ,Beşmərtəbə ,Xalça Muzeyi ,Səbail r.",40.38930339224178,Bakı,49.85948536585312,3119378,28 Fevral 2023 ,
30,Yeni tikili,5 / 5,98 m²,2,yoxdur,,89000,AZN,"Səbail r.,Badamdar q.",40.39045008382347,Bakı,49.830508675731,3120347,25 Dekabr 2022 ,
31,Yeni tikili,6 / 12,115 m²,3,yoxdur,,205000,AZN,"Memar Əcəmi m.,Zərifə Əliyeva adına park ,Nəsimi r.,4-cü mikrorayon q.",40.39989258617802,Bakı,49.83979431395813,3120353,10 Mart 2023 ,
32,Yeni tikili,7 / 19,90 m²,3,var,,155000,AZN,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.40011603328774,Bakı,49.83917601637808,3120356,25 Dekabr 2022 ,
33,Yeni tikili,10 / 16,130 m²,3,yoxdur,,275000,AZN,"28 May m.,Neft Akademiyası ,Bakı Slavyan Universiteti ,Bakı Musiqi Akademiyası ,Milli Konservatoriya ,Azərbaycan Dillər Universiteti ,Səməd Vurğun parkı ,Nizami kinoteatrı ,Qış parkı ,Sirk ,Pedaqoji Universiteti ,Malokan bağı ,Şərq bazarı ,Sahil bağı ,Nəsimi r.",40.36942330420567,Bakı,49.82101321220402,3121363,19 Mart 2023 ,
34,Köhnə tikili,8 / 9,90 m²,3,var,,155000,AZN,"Gənclik m.,Respublika stadionu ,TQDK ,Azərbaycan turizm institutu ,Nərimanov r.",40.42527440160644,Bakı,49.85134363174438,3122353,26 Dekabr 2022 ,
