Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,locations,latitude,city,longitude,date,Təmir,İpoteka
Yeni tikili,2 / 17,62 m²,2,,75000,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.4053327515815,Bakı,49.81380344106,28 Sentyabr 2022 ,,
Yeni tikili,8 / 17,73 m²,2,,120000,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.4228697516585,Bakı,49.81694719685061,18 Oktyabr 2022 ,,
Yeni tikili,11 / 14,75 m²,2,yoxdur,130000,"Təhsil Nazirliyi ,Nərimanov r.",40.39816149998397,Bakı,49.84086155891422,01 Oktyabr 2022 ,,
Yeni tikili,4 / 4,78 m²,3,,64000,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,18 Oktyabr 2022 ,,
Yeni tikili,10 / 16,90 m²,2,yoxdur,130000,Nərimanov r.,40.39816149998397,Bakı,49.84086155891422,01 Oktyabr 2022 ,,
Yeni tikili,8 / 16,135 m²,3,,245000,"Binəqədi r.,8-ci mikrorayon q.",40.41890356576523,Bakı,49.85291004180908,18 Oktyabr 2022 ,,
Yeni tikili,18 / 20,59 m²,2,var,125000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.,Yasamal q.",40.3839039,Bakı,49.79972640000005,18 Oktyabr 2022 ,,
Yeni tikili,4 / 9,57 m²,2,,77000,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,18 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,60 m²,2,,85000,"Nəsimi m.,Binəqədi r.,6-cı mikrorayon q.",40.42595738265467,Bakı,49.82836562716016,18 Oktyabr 2022 ,,
Yeni tikili,14 / 17,98 m²,2,,152000,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.42285341636961,Bakı,49.81703302753908,19 Noyabr 2022 ,,
Yeni tikili,5 / 16,117 m²,2,var,173000,"Şərq bazarı ,Nərimanov r.",40.40165844427115,Bakı,49.86887991428379,18 Oktyabr 2022 ,,
Yeni tikili,8 / 16,68 m²,2,,78000,Xırdalan,40.45245455420378,Xırdalan,49.74205131907212,18 Noyabr 2022 ,,
Yeni tikili,5 / 16,120 m²,3,yoxdur,240000,"Şərq bazarı ,Nərimanov r.",40.38645125868876,Bakı,49.85338341671899,30 Noyabr 2022 ,,
Köhnə tikili,1 / 5,70 m²,3,,150000,"Ayna Sultanova heykəli ,Binəqədi r.,8-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,18 Noyabr 2022 ,,
Yeni tikili,3 / 12,55 m²,2,,55000,Xırdalan,40.4594222097755,Xırdalan,49.74030236557609,18 Oktyabr 2022 ,,
Yeni tikili,2 / 10,180 m²,4,,275000,"M.Hüseynzadə parkı ,Sevil Qazıyeva parkı ,İzmir parkı ,Nizami m.,Yasamal r.",40.39045008382347,Bakı,49.830508675731,18 Oktyabr 2022 ,,
Yeni tikili,1 / 6,73 m²,3,var,82000,"Abşeron r.,Masazır q.",40.49219701939483,Bakı,49.75321769714355,18 Oktyabr 2022 ,,
Köhnə tikili,2 / 6,54 m²,2,var,110000,Xətai r.,40.38727822105774,Bakı,49.88063813930331,18 Oktyabr 2022 ,,
Köhnə tikili,5 / 5,35 m²,1,,62000,"Xətai r.,Həzi Aslanov q.",40.3807186,Bakı,49.92525120000005,18 Oktyabr 2022 ,,
Yeni tikili,16 / 16,65 m²,3,,100000,"Binəqədi r.,Biləcəri q.",40.42385238819654,Bakı,49.80408506395202,18 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,45 m²,2,,50000,Xırdalan,40.45893241577285,Xırdalan,49.74553803757316,28 Noyabr 2022 ,,
Yeni tikili,11 / 17,100 m²,3,var,195000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.39045008382347,Bakı,49.830508675731,18 Oktyabr 2022 ,,
Köhnə tikili,4 / 5,75 m²,3,,125000,"Binəqədi r.,7-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,18 Oktyabr 2022 ,,
Yeni tikili,3 / 7,87 m²,3,,71000,"Abşeron r.,Masazır q.",40.4941744317752,Bakı,49.76007521407585,18 Oktyabr 2022 ,,
Köhnə tikili,9 / 9,100 m²,5,var,110000,"Xətai r.,Həzi Aslanov q.",40.3807186,Bakı,49.92525120000005,18 Oktyabr 2022 ,,
Yeni tikili,14 / 16,50 m²,2,,110000,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,24 Dekabr 2022 ,,
Köhnə tikili,9 / 9,87.5 m²,2,var,125500,"Nəsimi r.,4-cü mikrorayon q.",40.41231993928577,Bakı,49.80468273982037,20 Noyabr 2022 ,,
Yeni tikili,10 / 17,230 m²,4,,365000,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,04 Noyabr 2022 ,,
Yeni tikili,9 / 16,45 m²,1,var,107000,"28 May m.,Neft Akademiyası ,Bakı Musiqi Akademiyası ,Səməd Vurğun parkı ,Milli Konservatoriya ,Nərimanov r.",40.37986494545423,Bakı,49.84853267669678,18 Oktyabr 2022 ,,
Yeni tikili,18 / 20,94 m²,3,,195000,"Şah İsmayıl Xətai m.,Xətai r.",40.3843596,Bakı,49.87381000000005,18 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,34 m²,1,,76000,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.4157710168948,Bakı,49.81499865115581,18 Oktyabr 2022 ,,
Yeni tikili,9 / 17,120 m²,3,,217000,"Montin bazarı ,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,01 Oktyabr 2022 ,,
Yeni tikili,10 / 15,83 m²,2,,150000,"Xətai r.,Həzi Aslanov q.",40.3807186,Bakı,49.92525120000005,18 Oktyabr 2022 ,,
Köhnə tikili,5 / 5,45 m²,2,,50000,Sumqayıt,40.60220966359696,Sumqayıt,49.64804138148667,18 Oktyabr 2022 ,,
Yeni tikili,14 / 17,90 m²,3,,205000,"Nəsimi bazarı ,Park Zorge ,Koala parkı ,Nəsimi r.",40.42527440160644,Bakı,49.85134363174438,18 Oktyabr 2022 ,,
Köhnə tikili,1 / 9,80 m²,4,var,116000,"Əhmədli m.,Xətai r.,Əhmədli q.",40.37613086332457,Bakı,49.91559462210881,19 Noyabr 2022 ,,
Yeni tikili,3 / 18,92 m²,2,,186500,"Nəriman Nərimanov m.,Nərimanov r.",40.40718945487256,Bakı,49.81836318969727,18 Noyabr 2022 ,,
Köhnə tikili,3 / 9,40 m²,2,,65000,"Xalqlar Dostluğu m.,Xətai r.,Əhmədli q.",40.39968476091122,Bakı,49.94952532143708,19 Oktyabr 2022 ,,
Yeni tikili,11 / 12,57 m²,2,,78000,Qaradağ r.,40.30993802049373,Bakı,49.74146935880666,19 Oktyabr 2022 ,,
Köhnə tikili,1 / 5,58 m²,2,,77000,"Memar Əcəmi m.,Nəsimi r.",40.42463128324992,Bakı,49.82827342647775,24 Sentyabr 2022 ,,
Yeni tikili,15 / 16,117.5 m²,3,,255000,Nərimanov r.,40.4089166,Bakı,49.86399959999994,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 2,56 m²,2,,80000,"Binəqədi r.,M.Ə.Rəsulzadə q.",40.4339581,Bakı,49.83662379999998,19 Oktyabr 2022 ,,
Yeni tikili,2 / 12,92 m²,3,,169000,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42646832971582,Bakı,49.84398112963868,19 Oktyabr 2022 ,,
Yeni tikili,4 / 16,106 m²,3,,260000,"ASAN Xidmət №1 ,Tibb Universiteti ,Nəsimi bazarı ,Nəsimi r.",40.39677903900652,Bakı,49.83575778576663,15 Oktyabr 2022 ,,
Yeni tikili,11 / 16,140 m²,4,,150000,Abşeron r.,40.45511190000001,Xırdalan,49.74459389999993,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 9,55 m²,2,,73500,"Suraxanı r.,Yeni Günəşli q.",40.38395801295385,Bakı,49.97983082359229,19 Oktyabr 2022 ,,
